1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,0,0
38,1,1.2439,0.42208
39,1,1.3626,0.31912
40,1,1.2307,0.16609
41,1,1.1098,0.068719
42,1,1.0419,0.022368
43,1,1.0121,0.0046691
44,1,1.0017,-0.00045472
45,2,0.99913,-0.0011756
46,2,2.243,0.42127
47,2,2.362,0.31872
48,2,2.2304,0.16593
49,4,2.1097,0.06867
50,4,4.5298,0.86652
51,4,4.7373,0.64292
52,4,4.4631,0.33172
53,4,4.2188,0.13626
54,4,4.0829,0.043929
55,4,4.0237,0.0089373
56,11,4.0032,-0.0010689
57,11,12.706,2.9522
58,11,13.536,2.2322
59,14,12.614,1.1618
60,36,15.5,1.747
61,37,42.748,10.4
62,37,45.998,7.9737
63,53,42.779,4.176
64,58,59.669,8.4901
65,68,66.083,7.7856
66,79,76.253,8.5947
67,89,88.265,9.7541
68,132,98.933,10.064
69,161,150.13,24.021
70,224,187.67,28.609
71,241,261.47,43.942
72,334,279.95,35.302
73,404,382.49,58.116
74,477,467.36,67.196
75,546,546.55,71.264
76,670,617.13,71.033
77,753.93,753.93,93.348
